ID	id	text	isgreen	sentiment	stance
1671556170178232328	3769	Biomes are coming along, I need to figure out how to break up the tiling on the base textures somehow though   #indie #indiegame #IndieGameDev #indiedev #game #gamedev #gamedesign #environment #landscape #unreal #UnrealEngine #UnrealEngine5 #dog #Beastking 	Not eco-related		
1668227123683655683	2941	At Leisure Guard Security, our greatest asset is our people. That's why we take great pride in looking after every one of our staff members.  #employeeengagement #valuesdriven #staffwellbeing #development #work #team #team #people #people #environment #environment #investing 	Not eco-related		
1607802290580111360	4921	#PFAS, also known as forever chemicals, do not naturally degrade. They are found in the blood of 99 percent of Americans. And there's no way to remove them from our bodies. 	Eco-related	Negative	Neutral
1683685579442081795	4686	Real or CGI? And if it’s real what is it?#crazyclips #crazyvids #crazyvideos #wildvids#weathercloud #Chemtrails #HAARP #GeoEngineering #weathercontrol #weatherwarfare #solardimming #Cloudseeding #weathermodification  #climatecult#UFO #uaptwitter #UFOSightings… 	Not eco-related		
1670009796416663557	4390	🔴The Queen is wearing a red silk coat dress that takes inspiration from the uniform of the Grenadier Guards - the rank insignia of a full colonel is reflected on the epaulettes  Read more 👇  	Not eco-related		
1659232397152354304	1696	For environmentalists who want to reduce their own household waste without assigning themselves more chores, there is a simple option. This  easy-to-use container does the hard work of composting for you. 	Eco-related		Supportive
1542609435268468737	2444	"""Nature has been my escape from many challenges with my identity and also a place to go, just to think and be fully present with myself."" Many thanks to our colleague, Alex Novarro, for participating in this interview.  "	Not eco-related		
1672167554893111296	3617	A powerful #wind farm will be built in the #Rivne region.  The wind farm will be able to produce about 1 million MWh/year.  More information in the news –   #ecopolitic #ecology #environment #Ukraine #windenergy 	Eco-related	Positive	Neutral
1671813275271725057	3111	#Ecofriendly #QuickWins ♻️   Don’t use disposable coffee cups, get yourself a reusable coffee cup  #parenting #environment #nature #sustainability #climatechange #ecofriendly #savetheplanet #sustainable #zerowaste #CoffeeLover 	Eco-related	Positive	Supportive
1681910988633698305	2305	You could take part & have your say but, as with all other 'consultations'  &  will ignore the results. They're too enamoured with the #NetZero &  hoaxes & the dream of a 15 minute prison for our city.	Eco-related		Skeptical/Opposing
1629521604282847234	3349	Octavia Butler passed away on February 24, 2006, but her stories continue to resonate and persist to this day; they anticipate a world increasingly burdened by climate and social crises.   	Eco-related	Negative	Neutral
1671525020495953922	1885	NOW OPEN: #IEMAConnect23 registration! Our exclusive IEMA member conference is back this Sept, engaging #sustainability & #environment professionals around the world on key themes through online workshops, webinars & f2f networking sessions. Register now:  	Eco-related		Supportive
1674747574006304769	2953	"🇨🇦 Govt will ""inject sulphur into the stratosphere""New #GeoEngineering documents from Environment Canada: ""Solar Radiation Management research is currently moving forward globally, despite the  lack of governance mechanisms on the issue."" "	Eco-related		Skeptical/Opposing
1498765046209560578	2247	We have an audacious plan to save the ocean.   TOMORROW, 3/2: join our virtual panel at the  to hear more about how we're using innovative finance & radical collaboration to protect marine areas.  World Ocean Summit at 10:05AM ET/3:05PM GMT  	Eco-related	Positive	Supportive
1668767323262418944	3055	America's greatest living author is also its most reclusive. So in 1994, a Telegraph journalist flew to Texas determined to make him talk… ⬇️ 	Not eco-related		
1670382179237412864	2972	Getting ready for flower ‘bomb’ making and printing at XR StDavids stall Unearthed Festival , near Solva . Love and rage . #spirituality #environment #climate 	Not eco-related		
1672971974425944067	4922	🌟 Sophie Ellis-Bextor kicks off the Pyramid Stage  'She was fizzing with delight as she bounced around the stage in a gold leotard streaming with gold tinsel, injecting our tired souls with a restorative dose of happy nostalgia' writes   'Not many people could get the entire Pyramid arena jumping in the air before lunchtime on the fifth day of Glastonbury'  #Glastonbury2023 	Not eco-related		
1607867717226307584	3653	California’s oil and gas industry says it has collected enough signatures to put a measure on the state’s 2024 ballot to overturn a new law requiring a minimum distance between new oil and gas wells and homes, schools, and hospitals. 	Eco-related	Negative	Neutral
1632100346448232449	3905	Almost half of California’s native fish are likely to be extinct in the next 50 years. But few are declining more rapidly than Northern California summer steelhead #trout. The removal of two dams could save them. by   	Eco-related	Negative	Supportive
1673226455684206593	1872	And, of course, we *know* that if we scrap all mechanical diggers and issue everyone with deer antler picks we will soon become rich by using them to dig our roads instead.Ecojacobins really do think that we are all utterly stupid. #NetZero/YearZero	Eco-related		Skeptical/Opposing
1683295771691724800	1763	"11 years old. Less than 1 cent per kilo of Mika...""I am sad, I wish I was at school ""The  beautiful  green transition that Greta likes so much.  "	Eco-related		Skeptical/Opposing
1630605405125591058	2095	Texas oyster fisheries are at a crossroads. While oysters are the cornerstone of the Gulf Coast economy and heritage, populations have reached historic lows. Now we're aiming to restore marine habitat while helping revive the economic vitality of our fisheries. 🦪🎣 	Eco-related	Negative	Supportive
1515751970526711824	2045	We have a clear path forward to build a healthier planet but we can’t take action alone. With more people comes more power to create a thriving future for all of us. 	Eco-related	Positive	Supportive
1668772808099344384	1947	🔴 A diagram shown by the Covid Inquiry explaining Government bureaucracy during the pandemic was compared to a “bowl of spaghetti” on the first day of public hearings 	Not eco-related		
1673783986345091072	4385	"  Heatwave magnitude in the US was highest in the 1930s!How do we know? Follow the science:It is the conclusion from the US Fourth National Climate Assessment ""heat wave magnitude reached a maximum in the 1930s.""  "	Eco-related		Skeptical/Opposing
1671933597664657413	2144	New documents from investigators provided the fullest account yet of the Norfolk Southern train derailment in East Palestine, Ohio. A two-day hearing is underway and is set to examine aspects of the derailment and the emergency response that followed. 	Not eco-related		
1673612302631727104	3337	Lufthansa enters decisive talks with its pilots union as the German airline races to avert the threat of a strike during the crucial summer travel season 	Not eco-related		
1667564277362827276	3891	The belief that the future arrives first on the Californian frontier used to be cause for pride, not dread. The shroud over New York this week is a harsh reminder that the future—a hotter, chaotic future—eventually comes for everyone.  	Eco-related	Negative	Supportive
1670553222573064192	2510	Manatees—often called sea cows—are “charismatic” wild animals that hold humans in their thrall. Neither predator nor prey, these peaceable creatures can grow to 13 feet and weigh more than 2,000 pounds    Video by Gena Steffens and Jason Gulley 	Not eco-related		
1547207735812538368	2327	Despite the #ClimateCrisis, we can and will create a new future in which both nature and humanity thrive. What does it look like? TNC’s Director of Climate Change, Leonardo Lacerda, lays out his vision here:  📷 Isaac Shaw 	Eco-related	Positive	Supportive
1537110223374123008	4682	In celebration of Juneteenth, revisit the final episode of #IntotheDepths with Nat Geo Explorer Tara Roberts. After meeting the living descendants of the Clotilda—the last slave ship to reach the U.S.—Tara is inspired to look into her own family’s past.  	Not eco-related		
1674036461807476737	2086	🔴 Yevgeny Prigozhin was finalising an operation to capture Russian military leaders but had to accelerate the timeline of his mutiny when Russia became aware of his plans, according to Western officials.   Read more on our Ukraine liveblog 👇  	Not eco-related		
1497013478028103681	4081	When Henry “Box” Brown folded himself into a wooden crate and shipped 350 miles to freedom, the U.S. postal service was thrust into the center of a national argument about free speech, censorship, and enslavement.  	Not eco-related		
1660313251652026371	3410	Prime Minister Kyriakos Mitsotakis of Greece has taken a tough line on migrants as he turns around the country’s economy. It’s a trade-off that voters seem more than willing to abide as Greece holds national elections on Sunday. 	Not eco-related		
