ID	id	text	isgreen	sentiment	stance
1671871332407992322	3737	Our #employees are vital to our success. We prioritize their well-being, fostering a supportive work environment that promotes work-life balance. This benefits both our business and stakeholders.  #JWL #ItMattersToUs #JupiterValues #success #environment #WorkLifeBalance 	Not eco-related		
1674312038514933760	4886	Uncertainty about Wagner Group's future gives the West an opportunity to break its grip on a vital African country.  explains why Mali is at play  via 	Not eco-related		
1585285278696148992	2023	Local officials are still struggling to figure out the right way to respond to wildfire smoke, faced with infrastructure unprepared for the current threat of climate change, and a public that may not understand the danger smoke poses. 	Eco-related	Negative	Supportive
1671570526618124302	4625	🆕 Some of the equipment is cutting edge while other machinery dates back to the Second World War as nations unite in race against time 	Not eco-related		
1658585690433568770	2866	Laws granting rights to people in polyamorous relationships are being recognized in more cities.   Somerville, Massachusetts, has quietly turned into something of a haven for those who practice consensual nonmonogamy. 	Not eco-related		
1645487056724819969	4270	After nearly 90 percent of Parisians vote against trottinettes in a plebiscite, the mayor of Paris bans rental scooters—and other environmental news you may have missed.   	Eco-related	Negative	Neutral
1684910717479096320	2363	Heat waves were worse in the 1930s.  It's not climate change that's causing heat waves this summer but no one wants to explain why  #FoxNews	Eco-related	Negative	Skeptical/Opposing
1672586218419236865	1910	SpaceX CEO  is joining Bloomberg writer  on  to talk about space exploration and more.  Tune in here at 11 am ET / 8 am PT 	Not eco-related		
1642945577662001152	4709	NASA has selected the four astronauts who, for the first time in five decades, will embark on a journey that only 24 people have ever undertaken—around the moon and back to Earth. 	Not eco-related		
1672142942004232192	1860	🔴 Rescuers searching for the missing Titanic sub fear they may never be able to recover the bodies of the five people killed on the expedition  Follow the latest updates on our live blog ⤵️  	Not eco-related		
1667523278976450562	3077	Ukraine is using its new arsenal of Western tanks and armored vehicles in what is expected to be one of the largest military operations in Europe since World War II. 	Not eco-related		
1683406495885524993	2291	✅ boots on✅Camera waterproof covers✅two thin layers under the raincoat✅hesitant dog✅water/mud cover for the seats in the van✅fresh towels to dry the CLIMATESCAM off the dog when he's had enough of this tropical JULY!!!✅Commie-Zombie spray (clean water)✅SHADES 😎 	Not eco-related		
1493676530316333065	1908	A tree with bark that smells like vanilla and butterscotch is remarkable with just that, but the ponderosa pine offers so much more. Read on to learn about all the creatures and interactions that call this tree home. 🌲 	Not eco-related		
1673689406157254659	3282	Delta boosted its outlook for profit, cash flow and margins this year as the carrier benefits from strong demand for air travel. Now the focus is on whether it can meet investor expectations 	Eco-related	Negative	Neutral
1509561151482482688	4537	During the early stage of the pandemic, physicians were flooded with cases of swollen, discolored toes—making them wonder if it was caused by SARS-CoV-2.  	Not eco-related		
1681909660406927360	4517	"Few people know... ""New Zealand is a 'carbon sink' because as a whole NZ absorbs more greenhouse gases than it produces"".  Why is this Government so intent on taxing farmers out of existence to fix a problem that doesn't exist?"	Eco-related	Positive	Skeptical/Opposing
1671607698511593477	1824	"A rioter who savagely assaulted an officer defending the Capitol on Jan. 6 was sentenced to more than 12 years in prison on Wednesday. A federal judge, delivering the sentence, called him a “one-man army of hate.""  "	Not eco-related		
1671912935981998095	4336	Breaking News: Bed Bath & Beyond, the home-goods retailer that filed for bankruptcy in April, accepted a $21.5 million bid from  to acquire its assets, a court filing said. 	Not eco-related		
1205580686247239680	1882	Earlier this week,  and  celebrated the release of  WOMEN: The National Geographic Image Collection with an event featuring   in conversation with   to discuss the role of women in photography. 	Not eco-related		
