ID	id	text	isgreen	sentiment	stance
1532086904795148292	2905	Happy #PrideMonth to all! Learn about the history that has come to define the month of June over the last century. 🏳️‍🌈 Full thread below:	Not eco-related		
1675544019282083843	4784	Women across the country have described being pressured, even ordered, by caseworkers and judges to get off their medications to resolve their child-welfare cases. In some instances, women who refused to do so lost their parental rights.	Not eco-related		
1668227919938834432	2241	Silvio Berlusconi, the brash media mogul who revolutionized Italian television using privately owned channels to become the country’s most polarizing and prosecuted prime minister, died at 86.  	Not eco-related		
1671410601287987201	4140	Creating Generations of Love-Giving is a Product of Love. There are so many folks of goodwill who are sharing their resources to various noble causes to advance humanity and the environment. Hats off to these champions #love #gratitude 	Eco-related	Neutral	Supportive
1631436806670495744	3519	Oyster reefs create wildlife habitat, improve water quality, and protect coastlines. But this essential habitat has declined 85% over the last 150 years.  The good news? Farmed oysters can help restore reefs and the benefits they provide. 	Eco-related	Negative	Supportive
1673763420586536960	4075	Barstools Portnoy shreds pink-haired liberal who drafted regulations for NYC coal ovens  #ZeroWaste #SustainableEnergy #SustainableLiving [Video] Barstool Sports founder Dave Portnoy recently condemned proposed New York City climate… 	Eco-related	Negative	Skeptical/Opposing
1673451192486096898	4215	Biogen shareholders elected Susan Langer, 32, to the board. The company says the board was aware of her relationship with former director Alex Denner 	Not eco-related		
1600236194691964937	4403	The massive crater would swallow ancient petroglyphs, plants used for medicines and food, and kill or scare off the animals that have lived there for millennia. 	Eco-related	Negative	Neutral
1671820503281987586	3937	🌱EXPAND your knowledge of #sustainability and the . Our collection includes #books and products that offer a #systemsthinking lens and those that incorporate #SystemDynamics and #simulation modeling. Add some new reads to your list today!  📚  	Eco-related	Neutral	Supportive
1673846101965676551	2151	All of those people have been poisoned with #GenderBender chemicals through #vaccines #water #food  + the training #indoctrination via #PublicSchools #psycologists #psychiatrists/ #MENTALillness is real/#USA #NewYork #America #BTC #Canada	Not eco-related		
1666783402085826560	3830	The eurozone slipped into a recession earlier this year, Europe’s statistics agency reported. Growth in the 20 nations that use the euro currency declined in the first three months of the year by 0.1% following a fourth-quarter contraction. 	Not eco-related		
1662464811110629376	1988	Thx to an industry referendum, oil and gas companies can now drill away within what would have been buffer zones to protect the health and safety of adults and children living or working nearby. #SB1137  	Eco-related	Negative	Neutral
1672935181551017989	2313	UK weather forecast: New yellow thunderstorm warning issued by Met Office as Brits brace for wild conditions #WindPower #WindPark  #GreenEnergy [Video] BRITS have been warned of potential chaos as thunderstorms are set to batter the UK… 	Not eco-related		
1670516129419100161	1785	"""Data Collection"" a new scifi/dystopian sketch I wanted to draw #characterdesign #conceptart  #scifi #digitalart #dailydoodle #sketchdaily #mangaart #storytelling #artstudy #composition #sketch #doodle #drawing #digitaldrawing #digitalsketch #artoftheday #myart #art "	Not eco-related		
1445923094372175873	1991	Our land, water and climate are the most fundamental infrastructure we have. Read how the bipartisan infrastructure bill in Congress supports nature and climate, from  	Eco-related	Positive	Supportive
1645554753907113984	3357	Native to New Guinea and Australia, these animals are the size of a house cat but a whole lot stranger with tiny toothless mouths, quill-like hairs—and multiheaded genitalia. 	Not eco-related		
1623737285886738433	3448	Atlanta’s government has attempted to weaken the forest defender’s cause, asserting that the decentralized movement is spearheaded by “outside agitators”—rhetoric that was widely deployed during the civil rights movement of the 1960s 	Eco-related	Negative	Neutral
1433527652648828928	2934	"""I used to wear one hat when I was at home,"" says wildlife ecologist Dr. Rae Wynn-Grant. ""Now I am a mom, I am a professional, a scientist, a teacher, a wife, all of these different things, all in one space."" Paid content for  "	Not eco-related		
1667066334843228163	2333	It is more urgent than ever to save the planet from escalating Nitrogen Oxide emissions.  Explore why taking timely action is vital.     #carbonemissions #nitrogenoxidesemissions #nitrogenoxides #carbonfootprint #esg #decarbonization #LNG 	Eco-related	Positive	Supportive
1671860994472042496	3619	Like so many others, I'm torn celebrating the summer solstice while facing the reality of extreme heat in the Anthropocene. Here's my solstice article in today's  #SummerSolstice #Extremeheat #ClimateCrisis 	Eco-related	Negative	Supportive
1660635572065402881	2649	Bakhmut, which Russia claimed on Sunday to have captured, is a ruined city that has taken on outsize importance in the war in Ukraine.  Here’s why the city matters to Russia. 	Not eco-related		
1671547064214511617	4454	With Richon, the platform that combines blockchain technology and fashion for a more distinctive and personalized experience, you can design clothing that is completely yours.  #ethicalfashion  #sustainability #fashion #blockchain #personalization #nfts #Web3 	Not eco-related		
1651798643693764609	3363	Summer is on the way, with resorts dusting off their lounge chairs, marine life gathering for feeding seasons, and a packed program of seaside festivals and arts events around the world 	Not eco-related		
1573863509435244544	4918	Marine-based tourism provides 13% of jobs & 62% of exports in Barbados.   A blue bond supported by TNC unlocks funding to protect & effectively manage up to 30% of Barbados’ oceans. See how this benefits marine ecosystems, the economy & local communities:  	Eco-related	Positive	Supportive
1672920105662005249	3634	South Africa estimates it will cost about 1.5 trillion rand over the next five years to transition away from the use of coal for power 	Eco-related	Positive	Neutral
1451302544190365699	2983	Business as usual got us a sick planet. It’s time to see the sustainable path forward for what it is: a chance to build thriving communities, now and later, #TogetherForOurPlanet.  #NatureNow 	Eco-related	Positive	Supportive
1673820768440860687	3028	Some of the largest oil producers in Canada are objecting to potentially rising costs and fees to ship their crude on the expanded Trans Mountain pipeline 	Eco-related	Negative	Neutral
1667236356177666075	2170	🇫🇷 The ‘backpack hero’ who fought Annecy knife attacker after several children were stabbed in a French playground   Read the full story here ⤵️  	Not eco-related		
1624506156713492482	2055	Diversifying the voices we hear will lead us to a future that includes everyone in outdoor spaces.   It is our responsibility to bring these voices to the forefront to lead our conversations about climate change and conservation. 	Eco-related	Neutral	Supportive
1673500464627740677	3550	Sierra Leone’s President Julius Maada Bio was heading for a second five-year term, weathering an economic crisis that’s sparked violent protests and calls for him to resign 	Not eco-related		
1478502016347480069	3248	The Frank and Joan Randall Preserve at the Tehachapi Mountains is a critical wildlife corridor in the face of climate change. TNC’s vision protects over 70,000 acres on this preserve.   Learn more about this iconic purchase for nature HERE:  	Eco-related	Positive	Supportive
1672266742330957825	3480	"Climate doomsday cultists like to regurgitate the fake news that ""Patrick Moore was not a co-founder of Greenpeace"", despite the fact that Greenpeace's own website used to show Patrick Moore as one of ""the founders of Greenpeace"".However, they have since memory holed that fact because it's inconvenient to their narrative to have a former co-founder speaking out against the #ClimateScam.More here: "	Eco-related		Skeptical/Opposing
1667194043237912576	3716	  I have a new book coming out in August from Quoir. The first reviews are in.       #Writer #WritingCommunity #theology #faith #ChristianNationalism  #antiracist #ally #LGBTQIA	Not eco-related		
1602801288428675072	3637	"Legend says this ""Christmas Devil"" comes to punish children who have misbehaved. Learn about Krampus, its Germanic origins, and how this sinister figure is celebrated "	Not eco-related		
1542530929255645186	4859	Germany’s largest city has reinvented itself many times in its 785-year history. Now, it must do it again in the face of climate change. Learn how TNC’s Urban Greening Program is pursuing green infrastructure and nature-based solutions in Berlin. 🐑 	Eco-related	Positive	Supportive
1682084137665019904	2651	We're quickly running out of time to solve the climate emergency. Do your part and obey, welcome more rules and limitations. It's for your own good.The science is settled.Nearly all experts agree.#ClimateScam 	Eco-related	Negative	Skeptical/Opposing
